permit number,description,building type,completed date
6688816-CN,"Construct single family residence (north building 2), per plans.  (Establish use for 6 single family residences and construct 6 one-family dwellings.  Reviews and processing for 6 construction records under 6682520-CN).",Single Family/Duplex,2020-11-04
6688820-CN,"Construct single family residence (southeast building 6), per plans.  (Establish use for 6 single family residences and construct 6 one-family dwellings.  Reviews and processing for 6 construction records under 6682520-CN)",Single Family/Duplex,2020-11-04
6676705-CN,"Establish use as and construct new single family residence on existing foundation, per plan.",Single Family/Duplex,2020-11-04
6688819-CN,"Construct single family residence (southwest building 5), per plans.  (Establish use for 6 single family residences and construct 6 one-family dwellings.  Reviews and processing for 6 construction records under 6682520-CN)",Single Family/Duplex,2020-11-04
6613067-CN,Establish use and construct a single family residence with attached garage per stand plan # 6551642.,Single Family/Duplex,2020-11-04
6613066-CN,"Establish use as and construct single family residence with attached garage, per standard plan 6554014.",Single Family/Duplex,2020-11-04
6596711-CN,"Establish use rowhouse and construct new townhouse building, per plan.",Multifamily,2020-11-04
6610369-CN,Construction of townhouse building,Multifamily,2020-11-04
6679202-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-11-03
6711128-CN,"Construct north 3-unit townhouse, per plan. (Establish use as townhouse and construct two 3-unit townhouses, review and processing for 2 records under # 6711128-CN.)",Multifamily,2020-11-03
6680713-CN,"Establish use as rowhouse and construct new townhouse structure, per plan.",Multifamily,2020-11-02
6713294-CN,"Construct south 3-unit townhouse, per plan. (Establish use as townhouse and construct two 3-unit townhouses, review and processing for 2 records under # 6711128-CN.)",Multifamily,2020-11-02
6688887-CN,"Construct new townhouse building, per plan. Existing single-family residence to remain.",Multifamily,2020-11-02
6672548-CN,"Establish use as rowhouse and construct new duplex, per plan.",Multifamily,2020-11-02
6576039-CN,Establish use and construct single family dwelling with attached garage per plan.,Single Family/Duplex,2020-11-02
6576028-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2020-11-02
6631300-CN,"Establish use as and construct new live-work and townhouse structure with surface parking, per plan.",Multifamily,2020-10-30
6732494-CN,Construct west single family residence (Establish use as and construct (2) single family residences.  Review and process (2) records under 6732494-CN).,Single Family/Duplex,2020-10-29
6736289-CN,Construct east single family residence (Establish use as and construct (2) single family residences.  Review and process (2) records under 6732494-CN).,Single Family/Duplex,2020-10-29
6618447-CN,"Construct North townhouse, per plan (Establish use as and construct (2) townhouse buildings / review and process for 2 AP's under permit 6618447)",Multifamily,2020-10-29
6650079-CN,"Construct South townhouse, per plan (Establish use as and construct (2) townhouse buildings / review and process for 2 AP's under permit 6618447)",Multifamily,2020-10-29
6650072-CN,"Construct South townhouse, per plan (Establish use as and construct (2) townhouse buildings / review and process for 2 AP's under permit 6618443)",Multifamily,2020-10-29
6589577-CN,"Construct East multifamily building, occupy per plan (Establish use as townhouse and construct 2 multifamily buildings, review and process for 2 AP's under #6575326)",Multifamily,2020-10-29
6460209-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-10-29
6684015-CN,"Establish use as and construct a single-family residence, per plan.",Single Family/Duplex,2020-10-28
6705634-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-10-28
6692633-CN,"Construct new East townhouse building, per plan (Establish use as and construct (2) townhouse buildings review and process for 2 CN #'s under 6649319-CN).",Multifamily,2020-10-28
6635246-CN,"Establish use as and construct single family residence with attached garage, per plan",Single Family/Duplex,2020-10-28
6649319-CN,"Construct new West townhouse building, per plan (Establish use as and construct (2) townhouse buildings review and process for 2 CN #'s under 6649319-CN)",Multifamily,2020-10-28
6594735-CN,"Establish use as and construct a single family residence, per plans.",Single Family/Duplex,2020-10-27
6672531-CN,"Establish use as rowhouse and construct new 3-unit townhouse, per plan.",Multifamily,2020-10-26
6734875-CN,"Establish use as and construct new single family residence with attached garage, per plan. (Establish Standard Plan, 2nd review done under 6725615-CN)",Single Family/Duplex,2020-10-23
6696543-CN,"Establish use as and construct a duplex with surface parking, per plan.",Single Family/Duplex,2020-10-23
6684808-CN,"Establish use as duplex and construct two family dwelling, per plan.",Single Family/Duplex,2020-10-23
6554368-CN,"Construct North duplex, per plan. (Establish use as townhouse and construct two new duplexes with surface parking, per plan. Review & process for 2 AP's under permit #6554368).",Single Family/Duplex,2020-10-21
6706505-CN,"Establish use as single family residence and construct new single family dwelling on partial existing foundation and revised partial existing main floor framing, per plan.",Single Family/Duplex,2020-10-20
6692703-CN,"Establish use as townhouse and construct new duplex (east building), per plan.(Construct alterations to existing single family residence and Construct 1 duplex and processing of 2 records under 6692703-CN).",Multifamily,2020-10-20
6677675-CN,"Establish use as and construct new townhouse structure, per plan.",Multifamily,2020-10-20
6699020-CN,"Construct WEST townhouse building, per plan (Establish use as and construct east and west townhouse residences; review and process for to records under 6693199-CN).",Multifamily,2020-10-20
6633306-CN,"Construct a townhouse building, per plans",Multifamily,2020-10-20
6707037-CN,"Construct east building (Establish use and construct 1 single family residence and 1 live-work structure, per plan.  Review & process for 2 records under #6677912-CN).",Single Family/Duplex,2020-10-16
6683535-CN,"Construct west building single family residence, per plan. (Establish use and construct 1 single family residence and 1 live-work structure, per plan. Review & process for 2 records under #6683535-CN).",Single Family/Duplex,2020-10-16
6618443-CN,"Construct North townhouse, per plan (Establish use as and construct (2) townhouse buildings / review and process for 2 AP's under permit 6618443)",Multifamily,2020-10-16
6617518-CN,"Construct new mixed-use multifamily building (North building), occupy per plan. Shoring and excavation under separate permit.",Multifamily,2020-10-15
6668985-CN,"Construct west 3-unit townhouse, per plan. [Establish use and construct (1) new 3-unit townhouse and (1) new single-family residence, per plan. Review and process for (2) Construction Records under 6668985-CN.]",Multifamily,2020-10-15
6574007-CN,"Establish use as and construct a single family residence with attached garage, per plans.",Single Family/Duplex,2020-10-15
6583292-CN,"Establish use as and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2020-10-15
6603391-CN,"Establish use as and construct new multi-family building and occupy, per plan.",Multifamily,2020-10-14
6706591-CN,"Construct new duplex, per plan.",Single Family/Duplex,2020-10-13
6632687-CN,"Establish use as and construct a single-family residence, per plans. Curb weep.  6632687-CN.",Single Family/Duplex,2020-10-13
6711555-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-10-12
6635208-CN,"Construct 2-unit multi-family structure with common parking garage and occupy, per plans.  (Establish use as rowhouses and construct one 4-unit townhouse and one 2-unit multi-family structure with garage.  Reviews and processing for 2 A/Ps under 6582863)",Multifamily,2020-10-12
6673530-CN,"Establish use as and construct a townhouse structure with attached garages, per plan.",Multifamily,2020-10-09
6724784-CN,"Construct detached garage accessory to existing single family residence, per plan.",Single Family/Duplex,2020-10-07
6667975-CN,"Establish use as and construct single family residence, per plan",Single Family/Duplex,2020-10-07
6582863-CN,"Construct 4-unit townhouse, per plans.  (Establish use as rowhouses and construct one 4-unit townhouse and one 2-unit multi-family structure with garage.  Reviews and processing for 2 A/Ps under 6582863)",Multifamily,2020-10-07
6571086-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-10-07
6674861-CN,"Establish use as rowhouse and construct a townhouse building, per plan.",Multifamily,2020-10-06
6695446-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-10-05
6792832-CN,"Remove and replace deck to a single-family residence, subject to field inspection (STFI).",Single Family/Duplex,2020-10-01
6687395-CN,"Establish use as row house and construct a townhouse structure with surface parking, per plan.",Single Family/Duplex,2020-10-01
6753855-CN,"Establish use as and construct single family residence with attached garage, per plan",Single Family/Duplex,2020-09-30
6713155-CN,"Establish use as and construct new single family residence and convert existing single family residence into attached accessory dwelling unit (related work under STFI permit #6714396-CN), per plan.",Single Family/Duplex,2020-09-30
6725154-CN,"Construct South Townhouse building, per plan (Establish use as and construct (2) townhouse buildings, review and process for 2 CN's under 6720754-CN)",Multifamily,2020-09-30
6720754-CN,"Construct NorthTownhouse building, per plan (Establish use as and construct (2) townhouse buildings, review and process for 2 CN's under 6720754-CN)",Multifamily,2020-09-30
6708954-CN,"Establish use as and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2020-09-30
6713407-CN,"Establish use as and construct a single-family residence and a detached accessory dwelling unit, per plans",Single Family/Duplex,2020-09-30
6739475-CN,"Establish use as and construct as single-family residence with attached garage, per plan.",Single Family/Duplex,2020-09-29
6708753-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-09-29
6732333-CN,"Construct middle SFR 2, per plans (Establish use as and construct three single-family residences per plans, Reviews and processing for 3 C/N's under 6728746)",Single Family/Duplex,2020-09-25
6670342-CN,"Establish use as and construct a single family residence with attached garage, per plans.",Single Family/Duplex,2020-09-25
6639490-CN,"Construct a detached accessory dwelling unit for a single family residence, per plan.",Single Family/Duplex,2020-09-25
6651470-CN,"Establish use and construct a single family dwelling with a detached accessory dwelling unit, per plan.",Single Family/Duplex,2020-09-23
6651471-CN,"Establish use as and construct new single family residence with detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2020-09-23
6693199-CN,"Construct EAST townhouse building, per plan (Establish use as and construct east and west townhouse residences; review and process for to records under 6693199-CN).",Multifamily,2020-09-18
6608460-CN,"Construct East single family residence, per plan. (Establish use as and construct (3) single family residences with surface parking, per plan. Review and process under 3 AP's under 6584339",Single Family/Duplex,2020-09-18
6608461-CN,"Construct North single family residence, per plan. (Establish use as and construct (3) single family residences with surface parking, per plan. Review and process under 3 AP's under 6584339",Single Family/Duplex,2020-09-18
6584339-CN,"Construct WEST single family residence, per plan. (Establish use as and construct west, east and north single family residences with surface parking, per plan. Review and process for 3 AP's under 6584339",Single Family/Duplex,2020-09-18
6584337-CN,"Establish use as rowhouses and construct a townhouse building, Parcel A, per plans",Multifamily,2020-09-18
6707974-CN,"Construct West bldg. per plans. (Establish use as multi-family and construct 2 townhouse buildings, per plans. Reviews and processing for 2 C/N's under 6654610)",Multifamily,2020-09-17
6622979-CN,"Construct single family residence with surface parking, per plan. (Establish use as single family residence and duplex and construct 1 single family dwelling and 1 duplex. Review & process for 2 AP's under AP# 6622979.)",Single Family/Duplex,2020-09-17
6725615-CN,"Establish use as and construct single family residence with attached garage, per plan. (Establish Standard Plan, 1st review done under 6734875-CN)",Single Family/Duplex,2020-09-16
6693987-CN,"Construct East single family residence #1, per plan. (Establish use as and construct 2 new single-family residences with attached garages. Review and process for 2 record numbers under 6693987-CN)",Single Family/Duplex,2020-09-16
6694868-CN,"Construct East single family residence (SFR2), per plan. (Establish use as and construct 2 new single family residences, per plan. Review & process for 2 records under permit #6686556-CN).",Single Family/Duplex,2020-09-16
6445279-CN,"Establish use as single family residence and construct one family dwelling with detached accessory dwelling unit and garage, per plans.",Single Family/Duplex,2020-09-16
6637989-CN,"Establish use as townhouses and construct a two-family dwelling, per plans.",Single Family/Duplex,2020-09-15
6726406-CN,"Construct West single family residence #2, per plan. (Establish use as and construct 2 new single-family residences with attached garages. Review and process for 2 record numbers under 6693987-CN)",Single Family/Duplex,2020-09-14
6691241-CN,"Establish use and construct west single-family residence, per plan. [Establish use and Construct new single-family residence, and Construct alterations to convert existing duplex into a single-family residence with accessory dwelling unit (ADU), per plan. Review and processing for (2) construction records under 6691241-CN.]",Single Family/Duplex,2020-09-14
6629643-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2020-09-14
6582052-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-09-14
6782540-CN,"Remove detached garage and construct new detached garage to a single-family residence, subject to field inspection (STFI).",Single Family/Duplex,2020-09-11
6573427-CN,"Establish use as single family residence and construct single family dwelling on existing and new foundation, per plan.",Single Family/Duplex,2020-09-11
6552146-CN,"Remove existing swimming pool and establish use as and construct new single family residence with detached accessory dwelling unit (DADU) above detached garage, per plan.",Single Family/Duplex,2020-09-11
6732334-CN,"Construct north SFR 3, per plans. (Establish use as and construct three single-family residences per plans, Reviews and processing for 3 C/N's under 6728746)",Single Family/Duplex,2020-09-10
6742714-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-09-10
6712225-CN,"Construct East duplex, per plan. (Establish use as and construct 2 duplexes. Review and process for two records under 6698139-CN).",Single Family/Duplex,2020-09-10
6708679-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-09-10
6618874-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2020-09-10
6704072-CN,"Construct detached accessory garage/habitable spaces accessory to existing single family residence, per plan.",Single Family/Duplex,2020-09-04
6622997-CN,"Establish use as rowhouses and construct 7-unit townhouse, per plans.",Multifamily,2020-09-03
6582649-CN,"Construct east single family dwelling with attached garage, per plan. (Establish use as single family residence and construct 3 single family dwellings / review and process for 3 AP's under # 6582649).",Single Family/Duplex,2020-09-03
6628274-CN,"Establish use as rowhouse and construct a townhouse building, per plan.",Multifamily,2020-09-02
6789547-CN,"Alterations for new half bathroom on main floor of single family residence, subject to field inspection.",Single Family/Duplex,2020-09-01
6696413-CN,"Construct East single family residence, per plan. [Establish use and construct (1) new 3-unit townhouse and (1) new single-family residence, per plan. Review and process for (2) Construction Records under 6668985-CN.]",Single Family/Duplex,2020-08-31
6507597-CN,"Construct detached accessory dwelling unit, legalize enclosure of former garage in main residence and demolition of existing porch, per plan.",Single Family/Duplex,2020-08-31
6676109-CN,"Construct new West townhouse structure, per plan. (Establish use as and construct 2 new townhouse structures with attached parking, per plan. Review & process for 2 records under permit #6676109-CN).",Multifamily,2020-08-28
6696641-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-08-28
6692075-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2020-08-28
6632651-CN,Construct new townhouse (north) and occupy per plan.(Establish use as and construct one new apartment and 1 new townhouse and processing of 2 AP's under 6554864.),Multifamily,2020-08-28
6668511-CN,"Construct duplex, per plans.  (Establish use as single family residence and townhouses and construct single family residence and duplex.  Reviews and processing for 2 construction records under 6622917-CN)",Single Family/Duplex,2020-08-28
6637943-CN,"Establish use as rowhouse and construct two-family dwelling, per plan.",Single Family/Duplex,2020-08-28
6637935-CN,"Establish use as townhouse and construct new duplex, per plan.",Single Family/Duplex,2020-08-28
6554864-CN,Construct new apartment building (south) and occupy per plan. Primary.(Establish use as and construct one new apartment and 1 new townhouse and processing of 2 AP's under 6554864.),Multifamily,2020-08-28
6698139-CN,"Construct West duplex, per plan (Establish use as and construct 2 duplexes. Review and process for two records under 6698139-CN).",Single Family/Duplex,2020-08-27
6713512-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2020-08-25
6628130-CN,"Construct west single family dwelling, per plan. (Establish use as single family residence and construct 3 single family dwellings/ review and process for 3 AP's under # 6628130.)",Single Family/Duplex,2020-08-25
6650942-CN,"Construct center single family dwelling, per plan. (Establish use as single family residence and construct 3 single family dwellings/ review and process for 3 AP's under # 6628130.)",Single Family/Duplex,2020-08-25
6694572-CN,"Construct new West townhouse structure Bldg A, per plan. (Establish use as rowhouse and construct 1 new townhouse structure and 1 duplex structure, per plan.  Review & process for 2 records under permit #6694572-CN)",Multifamily,2020-08-24
6699372-CN,"Construct new East duplex structure Bldg B, per plan. (Establish use as rowhouse and construct 1 new townhouse structure and 1 duplex structure, per plan.  Review & process for 2 records under permit #6694572-CN)",Multifamily,2020-08-24
6683869-CN,"Construct East duplex, per plan.  (Establish use as townhouse and construct 2 duplexes.  Review & process for 2 records under 6683869-CN).",Single Family/Duplex,2020-08-24
6708509-CN,"Establish use as and construct a single-family residence with detached accessory dwelling unit, DADU, per plan. (Establish Standard Plan, 2nd review done under 6708758-CN) Existing detached garage to be removed.",Single Family/Duplex,2020-08-21
6696499-CN,"Construct middle duplex, per plan. (Establish use as townhouse and construct 3 duplexes, per plan. Review & process for 3 records under #6677606-CN).",Multifamily,2020-08-20
6696501-CN,"Construct east duplex, per plan. (Establish use as townhouse and construct 3 duplexes, per plan. Review & process for 3 records under #6677606-CN).",Multifamily,2020-08-20
6601487-CN,"Establish use as rowhouse and construct a townhouse structure with surface parking, per plan.",Multifamily,2020-08-20
6614716-CN,"Establish use as and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2020-08-20
6558723-CN,"Establish use as and construct new townhouse building, per plan.",Multifamily,2020-08-20
6690974-CN,"Establish use as single family residence and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2020-08-19
6705246-CN,"Establish use as a single-family residence, per plans",Single Family/Duplex,2020-08-19
6695195-CN,"Establish use and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2020-08-19
6705229-CN,Construct east duplex (Establish use as townhomes and construct west and east two family dwellings; review and processing for two records under 6702350-CN).,Single Family/Duplex,2020-08-18
6568306-CN,"Construct single family residence and detached garage and accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2020-08-18
6670865-CN,"Establish use as rowhouse and construct a townhouse building with attached garages, per plan.",Multifamily,2020-08-17
6635199-CN,"Establish use as and construct new townhouse structure, per plan.",Multifamily,2020-08-14
6585418-CN,"Construct single family dwelling, per plan. (Establish use as single family residence and rowhouse, construct single family dwelling and two-family dwelling/ review and process for 2 records under # 6585418-CN.)",Single Family/Duplex,2020-08-14
6677606-CN,"Construct west duplex, per plan. (Establish use as townhouse and construct 3 duplexes, per plan. Review & process for 3 records under #6677606-CN).",Multifamily,2020-08-13
6667930-CN,"Construct two unit townhouse with attached garage, per plan",Single Family/Duplex,2020-08-13
6644127-CN,"Establish use as townhouse and construct new duplex, per plan.",Single Family/Duplex,2020-08-13
6576825-CN,"Construct 3-unit townhome structure, per plan.",Multifamily,2020-08-13
6696832-CN,"Construct South single family residence (Bldg 2), per plan. (Establish use as and construct 2 new single family residences, per plan. Review & process for 2 records under permit #6686493-CN).",Single Family/Duplex,2020-08-12
6686493-CN,"Construct North single family residence (Bldg 1), per plan. (Establish use as and construct 2 new single family residences, per plan.  Review & process for 2 records under permit #6686493-CN)",Single Family/Duplex,2020-08-12
6637971-CN,"Establish use as rowhouses and construct a townhouse building, per plans.",Multifamily,2020-08-12
6612378-CN,Establish use and construct single family dwelling with attached garage per plan.,Single Family/Duplex,2020-08-12
6613163-CN,"Establish use and construct a detached accessory dwelling unit (DADU) to single family dwelling, per plan.",Single Family/Duplex,2020-08-11
6490849-CN,"Shoring and excavation for future construction of a residential and retail building with above and below grade parking, per plan. (Reviews for 2 permits completed under 6490849)",Multifamily,2020-08-11
6716986-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-08-07
6702350-CN,Construct WEST duplex (Establish use as townhomes and construct west and east two family dwellings; review and processing for two records under 6702350-CN).,Single Family/Duplex,2020-08-07
6672653-CN,"Construct a duplex, per plan (Establish use as townhouse and construct a duplex and remodel an existing single-family residence, review and process for 2 record numbers under 6672653-CN)",Single Family/Duplex,2020-08-07
6702479-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-08-06
6702349-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-08-06
6666036-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-08-05
6671812-CN,"Establish use and construct townhouses with surface parking, per plan.",Multifamily,2020-08-05
6693121-CN,"Establish use and construct new single family dwelling with attached garage, per plan.",Single Family/Duplex,2020-08-04
6638047-CN,"Establish use as and construct two unit duplex townhouse with surface parking, per plan",Single Family/Duplex,2020-08-04
6536991-CN,"Establish use as congregate residence and construct a multi-family building, occupy per plans",Multifamily,2020-08-04
6790107-CN,"Interior alterations to main level of SFR, subject to field inspection, STFI.",Single Family/Duplex,2020-07-31
6613077-CN,"Establish use and construct new single family residence, per Standard Plan 6554014.",Single Family/Duplex,2020-07-31
6613074-CN,"Establish use as and construct single family residence with attached garage, per standard plan. 6551642",Single Family/Duplex,2020-07-31
6613078-CN,"Establish use as and construct a single family residence, per standard plan #6551642.",Single Family/Duplex,2020-07-31
6613076-CN,"Establish use as and construct single family residence with attached garage, per standard plan AP# 6551642.",Single Family/Duplex,2020-07-31
6613072-CN,"Establish use as and construct single family residence with attached garage, per standard plan 6551642.",Single Family/Duplex,2020-07-31
6613073-CN,"Establish use as and construct single family residence with attached garage, per standard plan 6554014.",Single Family/Duplex,2020-07-31
6586757-CN,"Construct mixed use apartment building with live/work units, retail and parking, occupy per plan.",Multifamily,2020-07-31
6732825-CN,Establish use as and construct single family residence per plan.,Single Family/Duplex,2020-07-30
6696557-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-07-30
6671390-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-07-30
6621790-CN,"Construct west bldg. per plans (Establish use as and construct 2 townhouse buildings, per plans. Reviews and processing for 2 A/P's under 6621790)",Multifamily,2020-07-30
6654846-CN,"Construct east bldg. per plans (Establish use as and construct 2 townhouse buildings, per plans. Reviews and processing for 2 A/P's under 6621790)",Multifamily,2020-07-30
6673412-CN,"Construct new SW single family residence, per plan. (Establish use as and construct (4) single family residences / review and process for 4 records under 6600661-CN)",Single Family/Duplex,2020-07-29
6673418-CN,"Construct new SE single family residence, per plan.. (Establish use as townhouse and single family construct (1) duplex and (2) single family residences / review and process for 3 records under 6600661-CN)",Single Family/Duplex,2020-07-29
6640037-CN,"Establish use as and construct a single-family residence, per plans.",Single Family/Duplex,2020-07-29
6600661-CN,"Construct new West duplex building, per plan. (Establish use as townhouse and single family and construct (1) duplex and (2) single family residences / review and process for 3 records under 6600661-CN)",Single Family/Duplex,2020-07-29
6594746-CN,"Establish use as and construct single family residence with attached garage and accessory dwelling unit, per plan.",Single Family/Duplex,2020-07-28
6677578-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-07-27
6653672-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-07-27
6673657-CN,"Construct southwest 3-unit townhouse, per plans. (Establish use for townhouses and construct two 3-unit townhouse and one duplex. Reviews and processing for 3 construction records under 6673650-CN)",Multifamily,2020-07-24
6633183-CN,"Construct southeast 3-unit townhouse, per plans.  (Establish use for townhouses and construct two 3-unit townhouse and one duplex.  Reviews and processing for 3 construction records under 6673650-CN)",Multifamily,2020-07-24
6673650-CN,Construct one duplex (north). (Establish use for townhouses and construct two 3-unit townhouse and one duplex). Reviews and processing for 3 construction records under 6673650-CN),Multifamily,2020-07-24
6605758-CN,"Establish use as rowhouses and construct 3-unit townhouse, per plans.",Multifamily,2020-07-23
6536993-CN,"Establish use as congregate residence and construct a multi-family building, occupy per plans",Multifamily,2020-07-23
6429062-CN,"Establish use for R-3 apartment building. Construct and occupy, per plan.",Multifamily,2020-07-23
6709609-CN,"Construct new East duplex, per plan. (Establish use as rowhouse and townhouse and construct 2 new duplexes, per plan. Review & process for 2 records under permit #6700802-CN).",Single Family/Duplex,2020-07-22
6700802-CN,"Construct new West duplex, per plan. (Establish use as rowhouse and townhouse and construct 2 new duplexes, per plan.  Review & process for 2 records under permit #6700802-CN).",Single Family/Duplex,2020-07-22
6594732-CN,"Establish use as and construct a single-family residence with attached garage, per plan. (Standard plan # 6693748-SP)",Single Family/Duplex,2020-07-22
6715487-CN,"Establish use as single family residence and construct new single family residence and new detached garage, per plans.",Single Family/Duplex,2020-07-21
6647596-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-07-21
6680084-CN,"Construct South single-family residence, per plan. (Establish use as and construct 2 single-family residences with attached garages, Review and process for 2 records under # 6680084-CN)",Single Family/Duplex,2020-07-20
6720332-CN,"Establish use as single family residence and construct one family dwelling, per plans.  Project includes removal of existing detached garage.",Single Family/Duplex,2020-07-17
6683148-CN,"Construct new 3-unit townhouse (south), per plan. [Establish use as and construct (2) 3-unit townhouse buildings, per plan. Processing for two construction records under 6672121.]",Multifamily,2020-07-16
6706152-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-07-16
6672121-CN,"Construct new 3-unit townhouse (north), per plan. [Establish use as and construct (2) 3-unit townhouse buildings, per plan. Processing for two construction records under 6672121.]",Multifamily,2020-07-16
6708758-CN,"Establish use as and construct single family residence with detached accessory dwelling unit (DADU), per plan.(Establish Standard Plan, 1st review done under 6708509-CN)",Single Family/Duplex,2020-07-15
6631823-CN,"Construct duplex with surface parking, per plan.  Remove detached garage. (Establish use as single family residence and duplex and construct 1 single family dwelling and 1 duplex. Review & process for 2 AP's under AP# 6622979.)",Single Family/Duplex,2020-07-15
6704829-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-07-14
6614206-CN,"Establish use as rowhouse and construct new townhouse building, per plan.",Multifamily,2020-07-14
6668135-CN,"Establish use as rowhouses and construct 7-unit townhouse, per plans.",Multifamily,2020-07-10
6594725-CN,"Establish use as and construct single family residence, per Standard Plan (AP# 6594717).",Single Family/Duplex,2020-07-10
6685992-CN,"Establish use as and construct a single-family residence, per plan.",Single Family/Duplex,2020-07-09
6655064-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-07-09
6646280-CN,"Establish use as and construct new single-family residence, per plan.",Single Family/Duplex,2020-07-09
6711560-CN,"Establish use as and construct single family residence on portion of existing foundation, and construct detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2020-07-07
6599446-CN,"Construct a townhouse-style apartment building, occupy per plans",Multifamily,2020-07-07
6680702-CN,"Construct west single family residence, per plan (Establish use as and construct 3 new single family residences. Review and process for 3 record numbers under 6680702-CN).",Single Family/Duplex,2020-07-01
6699220-CN,"Construct east single family residence, per plan (Establish use as and construct 3 new single family residences. Review and process for 3 record numbers under 6680702-CN).",Single Family/Duplex,2020-07-01
6699218-CN,"Construct middle single family residence, per plan (Establish use as and construct 3 new single family residences. Review and process for 3 record numbers under 6680702-CN).",Single Family/Duplex,2020-07-01
6601213-CN,"Establish use as and construct a single-family residence and alterations to convert existing SFR to a detached accessory dwelling unit (DADU), per plans.",Single Family/Duplex,2020-06-29
6632686-CN,"Establish use as rowhouse and construct townhouse structure, per plan.",Multifamily,2020-06-26
6674523-CN,"Establish use as 2 unit townhouse and construct duplex, per plan.",Single Family/Duplex,2020-06-26
6674524-CN,"Establish use as rowhouses and construct a duplex, per plan",Single Family/Duplex,2020-06-26
6691263-CN,"Establish use as and construct a single-family residence existing shed to be removed, per plans",Single Family/Duplex,2020-06-25
6601705-CN,"Remove accessory building, establish use as rowhouse and construct 3-unit townhouse, per plan.",Multifamily,2020-06-25
6650943-CN,"Construct east single family dwelling, per plan. (Establish use as single family residence and construct 3 single family dwellings/ review and process for 3 AP's under # 6628130.)",Single Family/Duplex,2020-06-25
6682530-CN,"Establish use as rowhouses and construct townhouses, per plans.",Multifamily,2020-06-24
6679022-CN,"Establish use as and construct single-family residence with accessory dwelling unit (ADU) and attached garage, per plan.",Single Family/Duplex,2020-06-24
6676793-CN,"Construct 3-unit townhouse, per plan. (Establish use as rowhouse and townhouse and construct a two-family dwelling and a 3-unit townhouse, review and processing for 2 records under 6671643-CN.)",Multifamily,2020-06-24
6671643-CN,"Construct two-family dwelling, per plan. (Establish use as rowhouse and townhouse and construct a two-family dwelling and a 3-unit townhouse, review and processing for 2 records under 6671643-CN.)",Multifamily,2020-06-24
6601485-CN,"Establish use as rowhouse and construct 7-unit townhouse structure, per plan.",Multifamily,2020-06-23
6594493-CN,Establish use as and construct a new single family residence with attached garage per plan.,Single Family/Duplex,2020-06-23
6607581-CN,"Establish use as single family residence and construct single family dwelling, per plan.",Single Family/Duplex,2020-06-22
6725911-CN,"Construct alterations to remove existing carport in rear yard, replace concrete slab, and construct 12' x 17' garage with bathroom and sink in single family dwelling. Subject to field inspection (STFI).",Single Family/Duplex,2020-06-18
6685451-CN,"Establish use as  and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2020-06-18
6685452-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-06-18
