permit number,description,building type,completed date
6677457-CN,"Establish use as rowhouse and construct 6-unit townhouse, per plan.",Multifamily,2021-03-11
6566669-CN,"Establish use as and construct new townhouse structure, per plan.",Multifamily,2021-03-11
6808399-CN,"Remove detached garage and construct new detached garage to a single-family residence, subject to field inspection (STFI).",Single Family/Duplex,2021-03-10
6762451-CN,"Construct new single family residence with attached accessory dwelling unit (AADU) and convert existing single family residence into a detached accessory dwelling unit (DADU), all per plan.",Single Family/Duplex,2021-03-09
6710520-CN,"Establish use as and construct a single-family residence and detached garage, per plan.",Single Family/Duplex,2021-03-09
6731203-CN,"Establish use as and construct single family residence and detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2021-03-09
6790611-CN,PLEASE SCREEN FOR STFI NO ECA REVIEW REQUIRED PER 6790642-EX*****rebuilding a single car garage.,Single Family/Duplex,2021-03-08
6699414-CN,"Construct East townhouse structure, per plan. (Establish use as and construct one townhouse and one duplex, per plan.  Review and process for 2 records under permit #6699414-CN).",Multifamily,2021-03-08
6589149-CN,"Construct substantial alterations to existing single family residence, partial existing foundation to remain, per plan.",Single Family/Duplex,2021-03-08
6682522-CN,"Establish use as and construct a townhouse structure with surface parking, per plan.",Multifamily,2021-03-05
6617655-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-03-05
6680933-CN,"Construct new townhouse structure (BLDG 1) to the west, per plan. [Establish use as and construct 3 new townhouse structures with attached parking, per plan. Review and processing for 3 records under #6547842-CN.]",Multifamily,2021-03-04
6680934-CN,"Construct new townhouse structure (BLDG 3) to the east, per plan. [Establish use as and construct 3 new townhouse structures with attached parking, per plan. Review and processing for 3 records under #6547842-CN.]",Multifamily,2021-03-04
6667609-CN,"Establish use as single family residence and construct one family dwelling with an accessory dwelling unit, per plans.",Single Family/Duplex,2021-03-04
6692851-CN,"Establish use as rowhouse and construct townhouse dwelling, per plan.",Single Family/Duplex,2021-03-03
6697990-CN,"Construct WEST townhouse - building A, per plan (Establish use and construct east and west townhouse residences.  Review and process for two records under 6697990-CN)",Multifamily,2021-03-02
6669315-CN,"Construct new West townhouse, per plan. (Establish use as and construct (3) new townhouse buildings review and process for 2 records under 6669315 - CN)",Multifamily,2021-03-02
6590722-CN,"Establish use and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2021-03-02
6720213-CN,"Establish use as and construct 3 unit townhouse structure, per plan.",Multifamily,2021-03-01
6674683-CN,"Establish use as and construct a single-family residence with attached dwelling unit (ADU) and attached garage, per plan.",Single Family/Duplex,2021-03-01
6669100-CN,"Establish use as and construct a single family residence with attached garage, per plan.",Single Family/Duplex,2021-02-25
6712245-CN,"Construct West duplex, per plan. (Establish use as and construct one townhouse and one duplex, per plan.  Review and process for 2 records under permit #6699414-CN).",Multifamily,2021-02-24
6711863-CN,"Construct alterations to existing single family residence (west building), per plan.(Construct alterations to existing single family residence and Construct 1 duplex and processing of 2 records under 6692703-CN).",Multifamily,2021-02-22
6692864-CN,"Establish use as and construct a single-family residence, per plans.",Single Family/Duplex,2021-02-19
6671065-CN,"Construct backyard cottage accessory to existing single-family residence, per plan.",Single Family/Duplex,2021-02-19
6684328-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-02-18
6684329-CN,"Establish use as rowhouse and construct a townhouse structure with surface parking, per plan.",Multifamily,2021-02-18
6613739-CN,"CONTRUCT (8) NEW ROWHOUSES WITH (7) ATTACHED GARAGES ACCESSED FROM FEDERAL AVE E, per plan.",Multifamily,2021-02-17
6592948-CN,"Construct mixed use congregate residence/retail structure and occupy, per plan",Multifamily,2021-02-17
6658003-CN,"Construct West townhouse building, per plan.  (Establish use as live-work and townhouse and construct (1) duplex and (1) three-unit live / work structure, per plan. Review and process for 2 AP's under 6631309)",Multifamily,2021-02-12
6676120-CN,"Establish use as and construct new single family residence with attached parking, per plan.",Single Family/Duplex,2021-02-11
6657067-CN,"Establish use as and construct new townhouse structure, per plan.",Multifamily,2021-02-11
6772948-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-02-10
6723091-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-02-09
6712726-CN,"Construct additions to single family residence and convert existing dwelling to an accessory dwelling unit (ADU), per plans.",Single Family/Duplex,2021-02-08
6586598-CN,"Establish use as and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2021-02-08
6744525-CN,"Construct terraced garage with detached accessory dwelling unit [DADU], per plan.",Single Family/Duplex,2021-02-05
6714589-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2021-02-05
6711295-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-02-05
6701091-CN,"Establish use as and construct a duplex with surface parking, per plan.",Single Family/Duplex,2021-02-04
6721878-CN,"Establish use as and construct single family residence with attached accessory dwelling unit, per plan.",Single Family/Duplex,2021-02-03
6675019-CN,"Establish use as rowhouse and construct a townhouse structure with surface parking, per plan.",Multifamily,2021-02-03
6675020-CN,"Construct new single-family residence, per plan.",Single Family/Duplex,2021-02-03
6547287-CN,"Establish use as and construct new single family residence with accessory dwelling unit and attached garage, per plan.",Single Family/Duplex,2021-02-03
6608845-CN,"Establish use as multifamily residential use and construct 4 rowhouses  over shared garage, occupy per plan.",Multifamily,2021-02-01
6746352-CN,"Establish use as and construct a townhouse structure with surface parking, per plan.",Multifamily,2021-01-29
6607390-CN,"Establish use as and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2021-01-29
6590231-CN,"Establish use as rowhouses and construct a townhouse building, per plans.",Multifamily,2021-01-29
6744746-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-01-28
6719788-CN,"Construct East duplex, per plan. (Establish use as townhouse and rowhouse and construct (1) townhouse and (1) duplex structure, per plan. Review and process for (2) records under 6718999-CN).",Multifamily,2021-01-28
6718999-CN,"Construct West townhouse, per plan. (Establish use as townhouse and rowhouse and construct (1) townhouse and (1) duplex structure, per plan. Review and process for (2) records under 6718999-CN).",Multifamily,2021-01-28
6657010-CN,"Establish use as and construct a single-family residence, per plan.",Single Family/Duplex,2021-01-28
6657019-CN,"Establish use as and construct new townhouse structure, per plan.",Multifamily,2021-01-28
6618732-CN,"Establish use as and construct new single-family residence with a detached garage, per plan.",Single Family/Duplex,2021-01-28
6731980-CN,"Construct new West Middle single family residence (bldg B), per plan. (Establish use as and construct 4 new single family residences, per plan. Review & process for 4 records under permit # 6696544-CN).",Single Family/Duplex,2021-01-27
6731987-CN,"Construct new East single family residence (bldg D), per plan. (Establish use as and construct 4 new single family residences, per plan. Review & process for 4 records under permit # 6696544-CN).",Single Family/Duplex,2021-01-27
6731984-CN,"Construct new East Middle single family residence (bldg C), per plan. (Establish use as and construct 4 new single family residences, per plan. Review & process for 4 records under permit # 6696544-CN).",Single Family/Duplex,2021-01-27
