,PermitNum,PermitClass,AppliedDate,CompletedDate,Description
447,6321566-CN,Single Family/Duplex,2012-06-05,2013-05-31,Establish use as rowhouse and construct new duplex with attached garage per plan.
448,6317486-CN,Single Family/Duplex,2012-06-05,2013-06-13,Establish use as townhouses and construct new duplex with attached garage per plan.
449,6285245-CN,Single Family/Duplex,2012-05-22,2016-11-16,"Construct SFR, per plan. (Establish use as townhouses and single family residence and construct SFR and duplex / processing for 2 A/P's under 6285245)."
450,6285331-CN,Single Family/Duplex,2012-05-22,2016-11-16,"Construct duplex, per plan.(Establish use as townhouses and single family residence and construct SFR and duplex / processing for 2 A/P's under 6285245)."
451,6321281-CN,Single Family/Duplex,2012-05-21,2014-06-09,Construct (1) single family residence per plan. (Establish use and  Construct (1) Duplex and (2) single family w/surface parking. Review and process for 3 AP's under #6309352.
452,6309352-CN,Single Family/Duplex,2012-05-21,2014-06-09,Construct 2-unit townhouse per plan.(Establish Use as and construct (1) Duplex and (2) single family residence w/surface parking. Review and process for 3 AP's under #6309352.
453,6321280-CN,Single Family/Duplex,2012-05-21,2014-06-09,Construct (1) single family residence per plan. (Establish use and construct (1) Duplex and (2) single family residence w/ surface parking. Review and process for 3 AP)'s under # 6309352
454,6313708-CN,Single Family/Duplex,2012-03-12,2014-06-24,Construct North Duplex per plan.(Establish use and construct new duplex and 2 new single family residence w/surface parking. (Review and process for 3 AP's under 6308385)
455,6313707-CN,Single Family/Duplex,2012-03-12,2014-06-16,Construct new single family residence per plan.( Establish ues as and construct new duplex and 2-new single family residence w/surface parking. (Review and process for 3 AP's under 6308385)
456,6284117-CN,Multifamily,2012-03-06,2013-03-20,Establish use as and construct new duplex with one attached garage and surface parking per plan.
457,6312217-CN,Multifamily,2012-02-28,2014-09-04,"Construct 6-plex, per plan. Construct 12 new affordable senior townhouse apartment units in 3 buildings (duplex, 4-plex, and 6-plex).  Review and processing under 6308565."
458,6312216-CN,Multifamily,2012-02-28,2014-09-04,"Construct 4-plex, per plan. Construct 12 new affordable senior townhouse apartment units in 3 buildings (duplex, 4-plex, and 6-plex).  Review and processing under 6308565."
459,6284766-CN,Single Family/Duplex,2012-01-17,2013-03-27,Construct single family residence per plan (establish use as SFR and Duplex and construct 1 new SFR and 1 new Duplex w/ surface parking - review and process for 2 AP's under 6284766).
460,6308091-CN,Single Family/Duplex,2012-01-17,2013-04-18,Construct two-family dwelling per plan (establish use as SFR and Duplex and construct 1 new SFR and 1 new Duplex w/surface parking - review and process for 2 AP's under 6284766).
461,6297434-CN,Single Family/Duplex,2011-12-14,2013-02-27,Construction of (1) new duplex townhome.
462,6294781-CN,Single Family/Duplex,2011-11-28,2013-04-25,"Establish use as rowhouses and construct new duplex, per plan."
463,6286812-CN,Single Family/Duplex,2011-09-22,2013-09-30,"Construct east duplex and occupy, per plan (CONSTRUCT (1) DUPLEX & (1) 3 UNIT TOWNHOUSE W/ ATTACHED GARAGE. Review and process for 2 AP's under Project #6286812)."
464,6289790-CN,Multifamily,2011-09-22,2013-09-30,"Construct west 3-Unit  townhouse and occupy, per plan (CONSTRUCT (1) DUPLEX & (1) 3 UNIT TOWNHOUSE W/ ATTACHED GARAGE. Review and process for 2 AP's under Project #6286812)."
465,6291936-CN,Single Family/Duplex,2011-09-19,2012-08-10,"Establish use as a two-unit rowhouse and construct duplex, per plan."
466,6273433-CN,Single Family/Duplex,2011-09-08,2018-06-25,Establish use as and construct a duplex with attached garage and occupy per plan
467,6287888-CN,Single Family/Duplex,2011-07-26,2012-05-29,Establish use as townhouse and construct new duplex behind existnig single family residence per plans
468,6281198-CN,Multifamily,2011-06-28,2012-07-05,"Establish use as and construct a 2-unit rowhouse (duplex) with attached garages, per plan."
469,6279041-CN,Single Family/Duplex,2011-05-24,2012-03-27,"Establish use as 2 rowhouses and construct new duplex with attached garage, per plan."
470,6274528-CN,Single Family/Duplex,2011-04-29,2012-11-08,Construct 2 New Duplex townhouse and occupy per plan. (Establish use for two 2unit duplex structures). Review & process for 2 AP's under #6274528
471,6274531-CN,Single Family/Duplex,2011-04-29,2012-10-15,Construct Single family residence and occupy per plan.( Establish use as sfr and 2 unit duplex structure). Review & process for 2 AP's under #6274531
472,6281130-CN,Single Family/Duplex,2011-04-22,2012-11-05,Construct 2 unit duplex structure and occupy per plan. (Establish use as sfr and 2 unit duplex structure) Review & process for 2 AP's under #6274531.
473,6281136-CN,Single Family/Duplex,2011-04-22,2012-11-05,Construct 2 New Duplex townhouses and occupy per plan. (Establish use for two 2 unit duplex structures). Review & process for 2 AP's under #6274528.
474,6275324-CN,Single Family/Duplex,2011-04-19,2013-05-23,Construct East duplex and occupy per plan. (Establish use as two (2) unit ground related townhhouse with onsite parking)  Review and process for 2 AP's under 6275324
475,6280566-CN,Single Family/Duplex,2011-04-18,2013-06-05,Construct West Duplex and occupy per plan ( Establish use as two (2) unit ground related towhnouse with on site parking). (Review and process for 2 AP's under 6275324.
476,6279714-CN,Multifamily,2011-04-11,2013-10-24,Establish use as and construct South Duplex with attached garage per plan.
477,6275384-CN,Multifamily,2011-04-11,2013-10-24,Establish use as and construct North Duplex with attached garage per plan.
478,6274516-CN,Single Family/Duplex,2011-04-08,2013-10-24,"Construct single family dwelling with attached garage, per plan (NW Bldg) (Construct 3 duplex bldg and 1 SFR-7, total of 7 units)(Review & Processing for 4 A/Ps under 6274516)"
479,6278314-CN,Single Family/Duplex,2011-04-07,2013-08-12,Construct 1 duplex with attached garage per plan (SE Bldg) (Review & Processing for 4 A/Ps under 6274516)
480,6278312-CN,Single Family/Duplex,2011-04-07,2013-08-12,Construct 1 duplex with attached garage per plan (NE Bldg) (Review & Processing for 4 A/Ps under 6274516)
481,6278313-CN,Single Family/Duplex,2011-04-07,2013-08-13,Construct 1 duplex with attached garage per plan (SW Bldg) (Review & Processing for 4 A/Ps under 6274516)
482,6278349-CN,Single Family/Duplex,2011-03-30,2012-05-30,Establish use and construct (1) two family dwelling with attached garages per plan. (Establish use and construct (1) SFR & (1) Duplex with attached garage per plan).Review & process for 2 AP's under #6272333
483,6272333-CN,Single Family/Duplex,2011-03-29,2012-05-30,Establish use and construct (1)Single family dwelling with attached garage per plan.(Establish use and construct (1) SFR & (1) Duplex w/attached garages per plan).Review & process for 2 AP's under #6272333
484,6275636-CN,Single Family/Duplex,2011-02-25,2012-08-15,"Construct single family dwelling this permit.(Establish use and construct duplex and single family dwelling with surface parking, per plan.) Review and processing under AP#6271094."
485,6270805-CN,Single Family/Duplex,2010-12-30,2012-07-06,"Establish use as and construct one single family residence and construct one duplex, (Review and processing for 2 A/P's under 6266080), per plans. Construct one single family dwelling this permit, per plans."
486,6266080-CN,Single Family/Duplex,2010-12-30,2012-07-06,"Establish use as and construct one single family residence and construct one duplex, (Review and processing for 2 A/P's under 6266080), per plans. Construct new duplex at south end of site this permit,per plans."
487,6264090-CN,Single Family/Duplex,2010-12-07,2012-10-08,Construct duplex (west bldg) per plan.  (Establish use and construct two duplexes/review and process for 2 A/P's under #6264090).
488,6266965-CN,Multifamily,2010-11-16,2012-07-05,Construct East triplex townhouse and occupy per plan (Establish use as multi family structures and construct two new triplex structure and one new duplex/ review and process for 3 AP's under #6249289).
489,6249289-CN,Multifamily,2010-11-16,2012-07-18,Construct West triplex townhouse and occupy per plan. Establish use as multi family structures and construct two new triplex structure and one new duplex. (review and process for 3 AP's under #6249289). Porject # 6294149 revision to place retaining wall at property line.
490,6259747-CN,Multifamily,2010-11-16,2012-07-05,Construct South Duplex townhouse and occupy per plan. (Establish use as multi family structures and construct two new triplex structure and one new duplex/ review and process for 3 AP's under #6249289)
491,6252295-CN,Multifamily,2010-07-30,2012-08-13,Construct east duplex (Establish use and construct one 3-unit and one 2-unit townhosue structures with surface parking per plan / Review + Process 2 APs under 6232301).
492,6256332-CN,Single Family/Duplex,2010-07-29,2013-06-10,Establish use and construct new duplex (East) townhouse per plan.
493,6249328-CN,Single Family/Duplex,2010-07-27,2012-03-22,"Construct South Duplex, per plan (Establish use and construct 2 duplex and 1 fourplex structures <8 units> Review and process for 3 AP's under 6249328)."
494,6254985-CN,Multifamily,2010-07-20,2012-02-24,"Construct East Fourplex, per plan (Establish use and construct 2 duplex and 1 fourplex structures <8 units> Review and process for 3 AP's under 6249328)."
495,6231127-CN,Single Family/Duplex,2010-07-20,2012-05-15,"Establish townhouse and construct duplex, per plan."
496,6254984-CN,Single Family/Duplex,2010-07-15,2012-03-19,"Construct North Duplex, per plan (Establish use and construct 2 duplex and 1 fourplex structures <8 units> Review and process for 3 AP's under 6249328)."
497,6251448-CN,Single Family/Duplex,2010-07-14,2011-12-09,Establish use and construct new duplex (West Bldg) and new single family dwelling (East Bldg)per plan. (Duplex structure this permit/Review & process for 2 AP's under AP# 6251448)
498,6254779-CN,Single Family/Duplex,2010-07-14,2011-12-13,Establish use and construct new duplex (West Bldg) and new single family dwelling (East Bldg)per plan. (Single family structure this permit/Review & process for 2 AP's under AP# 6251448)
499,6247895-CN,Single Family/Duplex,2010-06-30,2011-09-08,"Establish use and construct new duplex with surface parking, per plan."
500,6251054-CN,Single Family/Duplex,2010-06-07,2015-08-19,Construct one duplex with attached garage. (Construct one single family residence and one duplex - Review and process for 2 AP's under permit# 6246958)
501,6246958-CN,Single Family/Duplex,2010-06-07,2015-08-19,Construct one single family dwelling with attached garage (Construct one single family residence and one duplex - Review and process for 2 AP's under permit# 6246958)
502,6247649-CN,Single Family/Duplex,2010-04-30,2011-12-29,Construct South duplex (Establish use and construct 2 new duplex townhouse structures per plan. ( Review and process 2 AP'under 6245492).
503,6245492-CN,Single Family/Duplex,2010-04-30,2011-12-06,Construct North duplex (Establish use and construct 2 new duplex townhouse structures per plan. ( Review and process 2 AP'under 6245492).
504,6242420-CN,Multifamily,2010-04-29,2011-04-15,"Establish use as townhouses and construct new duplex, per plan"
505,6244005-CN,Multifamily,2010-04-23,2018-08-31,Construct west duplex(Establish use and construct one new 2-unit and one  3-unit townhouse structures with garages per plans. (Review & Process for 2 AP's under #6244005)
506,6238975-CN,Multifamily,2010-03-16,2012-05-31,Construct 10 residential buildings for 28 total units and attached garages.  (Construct two unit duplex unit per plan. Review and routing done under AP #6238975).
507,6237399-CN,Single Family/Duplex,2010-02-17,2011-06-14,"Remove detached garage, establish use and construct single family residence, per plan (Remove garage and establish use and construct single family residence and duplex, per plan w/ 2 ap's under 6237399)."
508,6240911-CN,Single Family/Duplex,2010-02-17,2011-06-14,"Establish use and construct new duplex, per plan (Remove garage and establish use and construct single family residence and duplex, per plan w/ 2 ap's under 6237399)."
509,6240034-CN,Single Family/Duplex,2010-02-05,2011-04-26,Construct SE Duplex (Establish Use & Construct 4 duplex buildings with attached garages per plan) Review & Process 4 ap's under 6230757.
510,6230757-CN,Single Family/Duplex,2010-02-05,2011-04-15,Construct NW Duplex (Establish Use & Construct 4 duplex buildings with attached garages per plan) Review & Process 4 ap's under 6230757.
511,6240032-CN,Single Family/Duplex,2010-02-05,2011-04-15,Construct NE Duplex (Establish Use & Construct 4 duplex buildings with attached garages per plan) Review & Process 4 ap's under 6230757.
512,6240033-CN,Single Family/Duplex,2010-02-05,2011-04-26,Construct SW Duplex (Establish Use & Construct 4 duplex buildings with attached garages per plan) Review & Process 4 ap's under 6230757.
513,6231765-CN,Single Family/Duplex,2009-12-02,2010-12-29,Construct West Duplex (Establish use and construct two 3-story townhouse structures with attached garages per plan / Review + Process 2 APs under 6179847).
514,6179847-CN,Single Family/Duplex,2009-12-02,2010-12-29,Construct East Duplex (Establish use and construct two 3-story townhouse structures with attached garages per plan / Review + Process 2 APs under 6179847).
515,6198661-CN,Single Family/Duplex,2009-11-24,2012-02-03,Establish use and construct 3-story duplex townhouse w/surface parking on vacant land per plan.
516,6217365-CN,Single Family/Duplex,2009-08-25,2011-02-18,Construct 2-unit townhouse (SE Duplex) per plan. (Establish Use & Construct (4) 2-unit townhouses.) Review & Processing for (4) A/P's under 6217365.
517,6225253-CN,Single Family/Duplex,2009-08-25,2011-03-01,Construct 2-unit townhouse (NW Duplex) per plan. (Establish Use & Construct (4) 2-unit townhouses.) Review & Processing for (4) A/P's under 6217365.
518,6225252-CN,Single Family/Duplex,2009-08-25,2011-02-18,Construct 2-unit townhouse (NE Duplex) per plan. (Establish Use & Construct (4) 2-unit townhouses.) Review & Processing for (4) A/P's under 6217365.
519,6225251-CN,Single Family/Duplex,2009-08-25,2011-03-01,Construct 2-unit townhouse (SW Duplex) per plan. (Establish Use & Construct (4) 2-unit townhouses.) Review & Processing for (4) A/P's under 6217365.
520,6220685-CN,Multifamily,2009-08-13,2011-08-11,Establish and construct townhouse(west Duplex) (Processing and review for 2 AP's under 6220685)
521,6221763-CN,Multifamily,2009-08-11,2011-07-01,Construct west duplex and common parking garage. Establish use as multi-family and townhouse residence. Construct 3-unit townhouse and duplex and occupy per plan (Review and Processing done under A/P 6221763).
522,6223970-CN,Multifamily,2009-08-11,2011-08-05,"Construct east 3-unit townhouse (Estabnlish use as multi-family and townhouse residence, construct 3-unit townhouse and duplex and occupy per plan (Review and Processing done under A/P 6221763)"
