,PermitNum,PermitClass,AppliedDate,CompletedDate,Description
3579,6146182-CN,Single Family/Duplex,2009-02-12,2010-03-29,Establish use as and construct single family residence per plan.
3580,6204915-CN,Single Family/Duplex,2009-02-06,2010-01-27,Establish use and construct single family residence with surface parking per plan.
3581,6182284-CN,Single Family/Duplex,2009-01-30,2009-08-03,Establish and construct single family residence per plan
3582,6177330-CN,Single Family/Duplex,2009-01-23,2009-08-06,"Establish use as single family residence, construct single family residence with attached garage, per plan."
3583,6205427-CN,Single Family/Duplex,2009-01-21,2009-08-06,Construct single family residence with attached garage per plan
3584,6204247-CN,Single Family/Duplex,2009-01-21,2010-05-19,"Establish use as and Construct a new Single Family Residence with attached garage, per plan"
3585,6182299-CN,Single Family/Duplex,2009-01-21,2009-08-06,Establish use as and construct single family residence with attached garage per plan
3586,6120206-CN,Single Family/Duplex,2009-01-19,2009-10-26,Establish use and construct new Single Family Residence per plan.
3587,6203202-CN,Single Family/Duplex,2009-01-05,2009-10-20,Establish use and construct a new Single Family Residence with terraced garage per plan.
3588,6201954-CN,Single Family/Duplex,2009-01-05,2009-10-28,"Establish use and construct a new Single Family Residence with attached garage, per plan."
3589,6203199-CN,Single Family/Duplex,2009-01-05,2009-08-17,"Establish use and construct new single family residence with attached garage, per plan."
3590,6160026-CN,Single Family/Duplex,2009-01-02,2010-09-29,Construct new single family residence with attached garage per plan.4/20/10 revision 6245494 Revision to reflect actual conditions in the field per geo report
3591,6125401-CN,Single Family/Duplex,2008-12-30,2014-09-22,"Establish use as single family residence and construct single family residence with attached garage, per plan."
3592,6199380-CN,Single Family/Duplex,2008-12-16,2009-08-21,"Establish use and construct single family residence with attached garage, per plan."
3593,6183341-CN,Single Family/Duplex,2008-12-16,2009-07-30,Establish use for and construct new single family residence with attached garage per plan.
3594,6201952-CN,Single Family/Duplex,2008-12-15,2010-01-27,"Establish use as and construct a new Single Family Residence with attached garage, per plan."
3595,6200317-CN,Single Family/Duplex,2008-12-09,2010-04-01,"Establish and Construct Single Family Residence w/ADU and ReConstruct Detached Garage, per plan."
3596,6183290-CN,Single Family/Duplex,2008-12-09,2013-06-26,Establish and Construct Single Family Residence per plan
3597,6198010-CN,Single Family/Duplex,2008-12-05,2010-12-03,"Establish use and construct single family residence with attached garage, per plan."
3598,6189193-CN,Single Family/Duplex,2008-12-01,2010-03-16,"Construct new duplex (Establish use for and construct one new duplex and one new single family residence with attached accessory garages), per plan. Review and processing for 2 AP's under #6189193."
3599,6196626-CN,Single Family/Duplex,2008-12-01,2010-03-16,"Construct new single family residence (Establish use for and construct one new duplex and one new single family residence with attached accessory garages), per plan.  Review and processing for 2 AP's under #6189193."
3600,6195126-CN,Single Family/Duplex,2008-11-25,2010-06-10,Construct E duplex this permit per standard plan 6170588. (Establish use as duplex and 2 single family residences 6177737 and construct 1 new duplex and 2 new SFR with on grade parking/Review and processing for 2 permits under 6195126).
3601,6202107-CN,Single Family/Duplex,2008-11-25,2010-06-10,Construct SW SFR this permit per standard plan 6170588. (Establish use as duplex and 2 single family residences 6177737 and construct 1 new duplex and 2 new SFR with on grade parking/Review and processing for 2 permits under 6195126).
3602,6202106-CN,Single Family/Duplex,2008-11-25,2010-04-12,Construct NW SFR this permit per standard plan 6170588. (Establish use as duplex and 2 single family residences 6177737 and construct 1 new duplex and 2 new SFR with on grade parking/Review and processing for 2 permits under 6195126).
3603,6197911-CN,Single Family/Duplex,2008-11-24,2009-07-23,"Establish use as a single family residence and construct one single family dwelling with attached garage, per plan."
3604,6190626-CN,Single Family/Duplex,2008-11-18,2013-01-07,"Establish use for and construct new single family dwelling with attached garage, per plans."
3605,6181920-CN,Single Family/Duplex,2008-11-07,2010-06-18,Establish and construct single family residence with attached garage per plan.
